to fall behind	quedarse atrás	We fell behind on the roadmap.	verb
to stand out	destacar	Your profile needs to stand out to recruiters.	verb
to reach out	ponerse en contacto	Feel free to reach out if you have questions.	verb
to narrow down	acotar, reducir	We narrowed down the list to three vendors.	verb
to rule out	descartar	We cannot rule out a seasonal effect.	verb
to account for	explicar; representar	Paid channels account for 40% of signups.	verb
to draw on	recurrir a, servirse de	She drew on her legal background.	verb
to leverage	aprovechar, apalancar	We leveraged existing content for the launch.	verb
to embed	integrar, incrustar	We embedded analytics into every page.	verb
to iterate	iterar	We iterated on the copy five times.	verb
to validate	validar, contrastar	We validated the idea with ten interviews.	verb
to benchmark	comparar con referencias	We benchmarked our pricing against competitors.	verb
to delegate	delegar	Learning to delegate took me a year.	verb
to escalate	escalar, agravar	The issue escalated to the CTO.	verb
to mitigate	mitigar, paliar	We mitigated the risk with a fallback plan.	verb
to anticipate	prever, anticipar	We anticipated a drop in traffic.	verb
to assess	evaluar, valorar	We assessed three different tools.	verb
to attribute to	atribuir a	They attributed the growth to referrals.	verb
to convey	transmitir, expresar	The deck did not convey the main message.	verb
to elaborate on	desarrollar, ampliar	Could you elaborate on that point?	verb
to clarify	aclarar	Let me clarify what I meant.	verb
to emphasise	enfatizar, recalcar	I would emphasise the data side of your profile.	verb
to highlight	destacar, resaltar	The report highlights three risks.	verb
to outline	esbozar, delinear	He outlined the plan in five slides.	verb
to reconcile	conciliar	It is hard to reconcile the two data sources.	verb
to align	alinear	We aligned the team around one metric.	verb
to advocate for	abogar por	She advocated for a simpler pricing model.	verb
to endorse	respaldar, avalar	Two clients endorsed the product publicly.	verb
to dismiss	descartar; despedir	Do not dismiss the idea too quickly.	verb
to refute	refutar	The data refutes that assumption.	verb
to concede	conceder, admitir	He conceded that the timeline was tight.	verb
to reiterate	reiterar	Let me reiterate the main point.	verb
to speculate	especular	I do not want to speculate without data.	verb
to infer	inferir, deducir	We inferred intent from their behaviour.	verb
to imply	implicar, insinuar	I did not mean to imply that.	verb
to entail	conllevar, implicar	The role entails a lot of stakeholder work.	verb
to constitute	constituir	That would constitute a breach of contract.	verb
to derive from	derivarse de	Most revenue derives from renewals.	verb
to stem from	provenir de	The problem stems from poor onboarding.	verb
to hinder	obstaculizar	Bureaucracy hindered the rollout.	verb
to hamper	entorpecer	Limited data hampered the analysis.	verb
to jeopardise	poner en peligro	That would jeopardise the whole quarter.	verb
to reinforce	reforzar	The results reinforce our hypothesis.	verb
to consolidate	consolidar	We consolidated three tools into one.	verb
to sustain	mantener, sostener	Can we sustain that growth rate?	verb
to retain	retener, conservar	We retain 85% of customers after a year.	verb
to nurture	nutrir, cultivar (leads)	We nurture leads with a weekly email.	verb
to churn	darse de baja (clientes)	Enterprise accounts churn less.	verb
to onboard	incorporar, dar de alta	We onboard new users in under five minutes.	verb
to forecast	pronosticar, prever	We forecast a 20% increase.	verb
to outperform	superar en rendimiento	Organic outperformed paid last quarter.	verb
to plateau	estancarse	Signups plateaued in August.	verb
to spike	dispararse	Traffic spiked after the launch.	verb
to taper off	disminuir gradualmente	Interest tapered off after two weeks.	verb
to level off	estabilizarse	Costs levelled off in Q3.	verb
to offset	compensar, contrarrestar	Higher volume offset the lower margin.	verb
to bootstrap	arrancar sin financiación	They bootstrapped the company for three years.	verb
to pivot	pivotar, dar un giro	We pivoted from B2C to B2B.	verb
to ship	lanzar, sacar (producto)	We ship something new every week.	verb
to endure	soportar, perdurar	The brand endured a difficult year.	verb
to thrive	prosperar	Small teams thrive with clear ownership.	verb
to struggle with	tener dificultades con	I still struggle with fast native speech.	verb
to cope with	sobrellevar, arreglárselas	He copes well with pressure.	verb
to grasp	captar, comprender	I grasped the concept after the second example.	verb
to grapple with	lidiar con	We are grappling with a data quality problem.	verb
to weigh up	sopesar	I am weighing up two job offers.	verb
to settle on	decidirse por	We settled on the simpler option.	verb
thorough	minucioso, exhaustivo	She did a thorough review of the contract.	adj
compelling	convincente, irresistible	The data makes a compelling case for change.	adj
straightforward	sencillo, directo	The setup is fairly straightforward.	adj
cumbersome	engorroso, pesado	The approval process is cumbersome.	adj
seamless	fluido, sin fricción	We want a seamless handover.	adj
robust	sólido, robusto	We need a more robust attribution model.	adj
brittle	frágil, quebradizo	The integration is brittle and breaks often.	adj
scalable	escalable	The process is not scalable beyond ten clients.	adj
sustainable	sostenible	That pace is not sustainable for the team.	adj
feasible	factible, viable	Is that timeline feasible?	adj
viable	viable	It is a viable alternative.	adj
redundant	redundante; prescindible	Half the fields are redundant.	adj
obsolete	obsoleto	The old dashboard is obsolete.	adj
ambiguous	ambiguo	The requirements were ambiguous.	adj
misleading	engañoso	That chart is misleading.	adj
accurate	preciso, exacto	The forecast turned out to be accurate.	adj
consistent	coherente, constante	We need consistent naming across channels.	adj
inconsistent	incoherente, irregular	The results were inconsistent.	adj
reliable	fiable	It is not a reliable source.	adj
biased	sesgado	The sample was biased towards power users.	adj
relevant	relevante, pertinente	Only two of those metrics are relevant.	adj
insightful	revelador, perspicaz	Her feedback was insightful.	adj
counterintuitive	contraintuitivo	The result was counterintuitive.	adj
substantial	considerable, sustancial	We saw a substantial improvement.	adj
marginal	marginal, escaso	The gain was marginal.	adj
negligible	insignificante	The cost is negligible.	adj
significant	significativo, importante	There was a significant drop in churn.	adj
steady	constante, estable	We have had steady growth all year.	adj
volatile	volátil, inestable	The market is volatile right now.	adj
resilient	resiliente	The team proved resilient.	adj
demanding	exigente	It is a demanding role.	adj
daunting	intimidante, abrumador	The backlog looked daunting.	adj
overwhelming	abrumador	The response was overwhelming.	adj
tedious	tedioso	Manual reporting is tedious.	adj
tricky	complicado, delicado	Attribution is tricky.	adj
subtle	sutil	There is a subtle difference between the two.	adj
blunt	directo, brusco	To be blunt, the pricing is wrong.	adj
candid	franco, sincero	I appreciate candid feedback.	adj
reluctant	reacio	They were reluctant to change tools.	adj
willing	dispuesto	I am willing to relocate.	adj
eager	ansioso, deseoso	She is eager to take on more responsibility.	adj
keen on	entusiasmado con	I am keen on roles with a data component.	adj
proficient	competente, hábil	I am proficient in Python and SQL.	adj
versatile	versátil, polivalente	He is a versatile hire.	adj
well-rounded	completo, polifacético	She has a well-rounded profile.	adj
hands-on	práctico, con implicación directa	I prefer a hands-on role.	adj
cross-functional	transversal, interfuncional	I led a cross-functional project.	adj
data-driven	basado en datos	We take a data-driven approach.	adj
opinionated	con criterio propio	The tool is quite opinionated.	adj
accountable	responsable (de rendir cuentas)	Each owner is accountable for one metric.	adj
liable	responsable (legalmente)	The company is liable for the damage.	adj
entitled to	con derecho a	You are entitled to 23 days of holiday.	adj
prone to	propenso a	The process is prone to human error.	adj
subject to	sujeto a	The offer is subject to references.	adj
wary of	receloso de	I am wary of vanity metrics.	adj
aware of	consciente de	I was not aware of that constraint.	adj
worthwhile	que merece la pena	It was a worthwhile investment.	adj
outstanding	excelente; pendiente	There are two outstanding invoices.	adj
a bottleneck	un cuello de botella	Design review is the bottleneck.	noun
a trade-off	una compensación, un sacrificio	There is a trade-off between speed and quality.	noun
a shortcoming	una carencia, un defecto	The main shortcoming is the reporting.	noun
a drawback	un inconveniente	The main drawback is the price.	noun
a setback	un contratiempo, un revés	The delay was a serious setback.	noun
a breakthrough	un avance decisivo	The new channel was a breakthrough.	noun
a milestone	un hito	We hit a major milestone in June.	noun
a turnaround	un cambio radical; un plazo	The turnaround took six months.	noun
a workaround	una solución provisional	We built a workaround for now.	noun
leverage	influencia, apalancamiento	We have little leverage in this negotiation.	noun
scope	alcance, ámbito	That is outside the scope of the project.	noun
scope creep	ampliación descontrolada del alcance	Scope creep killed the deadline.	noun
a stakeholder	una parte interesada	I aligned all stakeholders early.	noun
a constraint	una restricción	Budget was the main constraint.	noun
a hurdle	un obstáculo	Legal review was the biggest hurdle.	noun
a caveat	una salvedad, una advertencia	One caveat: the sample is small.	noun
a rationale	una justificación, un razonamiento	Explain the rationale behind the change.	noun
insight	conocimiento, hallazgo	The interviews gave us a useful insight.	noun
a takeaway	una conclusión, una idea clave	The main takeaway is that pricing matters.	noun
the outcome	el resultado	The outcome exceeded expectations.	noun
the outset	el principio	We agreed on that from the outset.	noun
a track record	un historial, una trayectoria	She has a strong track record in B2B.	noun
expertise	experiencia, dominio	He brings deep expertise in SEO.	noun
a remit	un cometido, unas competencias	Pricing falls within my remit.	noun
a backlog	una acumulación de trabajo pendiente	We have a huge backlog of requests.	noun
throughput	rendimiento, volumen procesado	We doubled throughput without new hires.	noun
attrition	desgaste, rotación	Attrition rose after the reorg.	noun
retention	retención	Retention is our north star metric.	noun
runway	margen de financiación restante	They have twelve months of runway.	noun
churn rate	tasa de bajas	Our monthly churn rate is 3%.	noun
a lead	un contacto comercial	We generated 400 leads last month.	noun
a funnel	un embudo	The middle of the funnel is leaking.	noun
a benchmark	un referente, una referencia	The industry benchmark is 2%.	noun
a proxy	un indicador indirecto	We use signups as a proxy for demand.	noun
a hypothesis	una hipótesis	Our hypothesis was wrong.	noun
a rollout	un despliegue	The rollout took three weeks.	noun
a handover	un traspaso	The handover was well documented.	noun
a discrepancy	una discrepancia	There is a discrepancy between the two reports.	noun
compliance	cumplimiento normativo	Compliance signed off on the copy.	noun
due diligence	diligencia debida	We did due diligence on the vendor.	noun
a liability	un pasivo; una responsabilidad	That clause is a liability.	noun
a provision	una disposición; una provisión	The contract has a termination provision.	noun
to make a case for	defender, argumentar a favor de	I made a case for hiring a second analyst.	phrase
to raise concerns	plantear inquietudes	Legal raised concerns about the wording.	phrase
to set expectations	fijar expectativas	I set expectations with the client upfront.	phrase
to take ownership of	asumir la responsabilidad de	I took ownership of the whole funnel.	phrase
to take the lead on	liderar, encargarse de	I took the lead on the rebrand.	phrase
to be in charge of	estar a cargo de	I am in charge of demand generation.	phrase
to report to	depender de (jerárquicamente)	I report directly to the CEO.	phrase
to be responsible for	ser responsable de	I am responsible for the acquisition budget.	phrase
to keep someone in the loop	mantener a alguien informado	Keep me in the loop on that thread.	phrase
to touch base	ponerse en contacto brevemente	Let us touch base next week.	phrase
to circle back	retomar el tema	I will circle back with the numbers.	phrase
to get buy-in	conseguir apoyo o aprobación	I got buy-in from the sales team first.	phrase
to push back on	oponerse, cuestionar	I pushed back on the deadline.	phrase
to bridge the gap	salvar la distancia	I bridge the gap between marketing and product.	phrase
to hit the ground running	empezar con fuerza desde el primer día	I can hit the ground running in this role.	phrase
to go the extra mile	hacer un esfuerzo adicional	The team went the extra mile last quarter.	phrase
to think on your feet	improvisar con acierto	The role requires thinking on your feet.	phrase
to wear many hats	desempeñar muchas funciones	In a startup you wear many hats.	phrase
a steep learning curve	una curva de aprendizaje pronunciada	It was a steep learning curve.	phrase
to be up to speed	estar al día, ponerse al corriente	I was up to speed within two weeks.	phrase
to bring value to	aportar valor a	I can bring value to your GTM motion.	phrase
to draw the line	poner el límite	You have to draw the line somewhere.	phrase
to cut corners	hacer las cosas a medias	We never cut corners on data quality.	phrase
to play devil's advocate	hacer de abogado del diablo	Let me play devil's advocate for a second.	phrase
to be on the same page	estar de acuerdo	Are we all on the same page?	phrase
in hindsight	en retrospectiva	In hindsight, I would have tested earlier.	connector
that being said	dicho esto	That being said, the results were positive.	connector
having said that	dicho lo cual	Having said that, I see the risk.	connector
as far as I am concerned	en lo que a mí respecta	As far as I am concerned, the case is closed.	connector
by and large	en general, en líneas generales	By and large, the launch went well.	connector
to some extent	hasta cierto punto	I agree to some extent.	connector
on the whole	en conjunto	On the whole, it was a good quarter.	connector
bearing in mind	teniendo en cuenta	Bearing in mind the budget, that is impressive.	connector
provided that	siempre que, con tal de que	I can start in October, provided that the visa clears.	connector
unless	a menos que	We will miss the target unless we act now.	connector
whereas	mientras que	Organic grew, whereas paid stalled.	connector
albeit	aunque, si bien	It worked, albeit slowly.	connector
nonetheless	no obstante	The plan was risky; nonetheless, we shipped it.	connector
regardless of	independientemente de	Regardless of the outcome, I learned a lot.	connector
in light of	a la luz de	In light of the data, we changed course.	connector
with regard to	con respecto a	With regard to salary, I am flexible.	connector
as opposed to	a diferencia de	Quality leads as opposed to raw volume.	connector
let alone	y mucho menos	I cannot finish it today, let alone this morning.	connector
otherwise	si no, de lo contrario	Send it now; otherwise we miss the window.	connector
thereby	de este modo	We automated reporting, thereby saving ten hours.	connector
hence	de ahí que, por tanto	The data was noisy, hence the caution.	connector
to be honest with you	siendo sincero	To be honest with you, that surprised me.	phrase
I would say that	yo diría que	I would say that retention is the bigger issue.	phrase
it depends on	depende de	It depends on how you define a qualified lead.	phrase
I am not entirely sure	no estoy del todo seguro	I am not entirely sure, but I can find out.	phrase
off the top of my head	así de memoria	Off the top of my head, around 12%.	phrase
correct me if I am wrong	corrígeme si me equivoco	Correct me if I am wrong, but that was Q2.	phrase
what I mean by that is	lo que quiero decir es	What I mean by that is we lacked ownership.	phrase
let me give you an example	déjame ponerte un ejemplo	Let me give you an example from my last role.	phrase
to walk someone through	explicar paso a paso	Let me walk you through the process.	phrase
in a nutshell	en pocas palabras	In a nutshell, we grew 3x with the same budget.	phrase
the bottom line is	lo esencial es, en definitiva	The bottom line is we need more pipeline.	phrase
a rough estimate	una estimación aproximada	A rough estimate would be four weeks.	phrase
give or take	más o menos	Six months, give or take.	phrase
roughly	aproximadamente	Roughly a third of our traffic is branded.	adv
arguably	posiblemente, se podría decir que	Arguably the best channel we have.	adv
allegedly	presuntamente	They allegedly copied our landing page.	adv
presumably	presumiblemente	Presumably they will renew.	adv
inevitably	inevitablemente	Costs inevitably went up.	adv
consequently	en consecuencia	Consequently, we paused the campaign.	adv
accordingly	en consecuencia, según eso	We adjusted the budget accordingly.	adv
thoroughly	a fondo, minuciosamente	We tested it thoroughly.	adv
barely	apenas	We barely hit the target.	adv
hardly	apenas, casi no	I hardly ever use that report.	adv
seldom	rara vez	He seldom misses a deadline.	adv
eventually	finalmente, con el tiempo	Eventually we found the root cause.	adv
ultimately	en última instancia	Ultimately it is the customer's call.	adv
meanwhile	mientras tanto	Meanwhile, support was overwhelmed.	adv
upfront	por adelantado; de entrada	I want to be upfront about my notice period.	adv
a shortfall	un déficit	We had a shortfall of 200 leads.	noun
an uplift	una mejora, un incremento	We saw a 12% uplift in conversion.	noun
a spike	un pico	There was a spike in support tickets.	noun
a dip	una caída, un bajón	August always has a dip.	noun
a knock-on effect	un efecto en cadena	It had a knock-on effect on support.	noun
a root cause	una causa raíz	The root cause was a broken redirect.	noun
a workload	una carga de trabajo	The workload doubled after the reorg.	noun
a headcount	una plantilla, un número de empleados	We grew headcount from five to twelve.	noun
a notice period	un periodo de preaviso	I have a one-month notice period.	noun
a probation period	un periodo de prueba	The probation period is six months.	noun
a package	un paquete retributivo	Could you share the full package?	noun
a perk	una ventaja adicional	Remote work is the main perk.	noun
a raise	un aumento de sueldo	I asked for a raise in January.	noun
a promotion	un ascenso	She got a promotion after a year.	noun
a referral	una recomendación, un referido	Most of our hires come from referrals.	noun
a shortlist	una lista de finalistas	I made the shortlist for two roles.	noun
a screening call	una llamada de criba	The screening call lasted 20 minutes.	noun
a take-home assignment	una prueba para casa	The take-home assignment took four hours.	noun
to be a good fit	encajar bien	I think I would be a good fit for this role.	phrase
to look forward to	esperar con ganas	I look forward to hearing from you.	phrase
to follow through on	cumplir con, llevar hasta el final	She always follows through on commitments.	phrase
to live up to	estar a la altura de	The tool did not live up to the hype.	phrase
to fall short of	no alcanzar	We fell short of the target by 5%.	phrase
to make up for	compensar	Q4 made up for a weak Q3.	phrase
to be worth it	merecer la pena	The migration was painful but worth it.	phrase
